title,price,location,bedrooms,bathrooms,image,url,description,latitude,longitude
Condo For Rent in Rockwell,70000,"Rockwell, Makati",1,1,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTk3NmMzNS1hODQ5LTcyMWMtYjAwMS0zNTE1NTEyOTVkZjYvNTI4MmQ4ZDM2NTQ4YWIyYWIyOWYxOGNhZWQ2M2Y0YjAzMzY4YTZhMDUzY2JmMDU4ZWNhNmIzY2JlMTQ2MTJjZS5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-351551295e3f-a892-1976c7e-b04a-7265,"JRE-292
 

 52 sqm 1BR Condo for Rent (and Sale) in One Rockwell, Makati City - ₱70,000 per month or ₱1,346 per sqm
 

 Floor Area: 52 sqm
 

 1 Bedroom
 1 Bathroom
 1 Parking
 Balcony (faces Bel Air)
 Storage Room
 25th Floor, East Tower
 Newly Renovated (Dec 2024)
 

 Furnished with:
 • Full-sized Washing Machine and Dryer
 • Full-sized Baking Oven and Stovetop
 • SMART Toilet (seat heater, automatic sensor, antibacterial UV lights)
 • 55-inch Flat Screen TV
 • Pull-out Kitchen Sink Faucet
 • Water Heater (Bathroom and Kitchen)
 • Water Purifier
 • 2 New Split-type SMART Aircon Units
 • 4-poster Queen-sized Bed
 (Paintings not included)
 

 Payment Terms: 2 months security deposit and 2 months advance
 

 Also Selling this Unit
 

 #CondoForRent #OneRockwellMakati #MakatiRealEstate #1BRCondo #NewlyRenovatedCondo",14.5662687,121.0386341
Condo For Rent in Rockwell,75000,"Rockwell, Makati",1,1,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTk3NmMyMi1kYTljLTcwNmUtOGI2Zi03Y2VkNzU2ZDMwOWUvMDVhMGFjMTU5ZGE4ZGI0YjE4OTg1ZDU3NGM3NDEwMTg4YjRkOWEwM2U3MzIxZjViYmMxYTU0Yjc3Mjk3MzViZS5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-7ced756d30e7-dae5-1976c6b-8bb8-70b7,"ND-TL
 

 1 BR Condo Unit with Balcony for Lease at One Rockwell East Tower, Makati City
 

 

 Size of Unit
 68 sqm floor area
 

 Location: Rockwell Drive, Rockwell Center, Makati, Metro Manila
 

 Fully furnished
 1 Bedrooms
 1 Bathrooms
 1 Parking space
 With balcony
 

 Amenities:
 Swimming Pool
 Function room
 
 Fitness gym
 Play area
 24/7 Security
 

 Rental Price
 Php 75,000 / Month
 

 Preferably Renters Only.
 

 —
 

 Contact us today!
 

 Visit us at Unit 00179 Lower-Level East Lane, Robinsons Galleria, EDSA corner Ortigas Avenue, Ortigas Center, Quezon City (beside NBI)
 

 *** INCOME OPPORTUNITIES FOR PART-TIME OR FULL-TIME SELLERS, ONLINE MARKETERS, AGENTS AND BROKERS. CONTACT US NOW TO KNOW MORE ***",14.5662687,121.0386341
Condo For Rent in Fort Bonifacio,90000,"Fort Bonifacio, Taguig",2,2,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTk3NmMxOC1jNjhhLTc1ZmMtYTk1My1hMWU4MjlmZjhiZTUvOGVlOTJkMzA4OGQ1MWMwZmY4Mzg4YmY1ZjQxMTFkMTE0ZTFmNzkxOGU3NzcyMDY5ZDBjZmU4ZTMwNzA2ZWZhNi5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-a1e829ff8c2e-c6d3-1976c61-a99c-7645,"Sequioa at Serendra Fort Bonifacio Taguig

o 2 Bedrooms / 2 Toilet and baths

o 88 sqm

o 1 parking

o Fully furnished

o All bedrooms have black out curtains.

o Unit faces inner gardens (east) with unobstructed views of Antipolo Hills and Laguna Bay Rental Rate: 90k / month inclusive of ass. dues.

For viewing appointments, kindly give 3 days' advance notice. Thank you.

Note: Prices, features and availability are subject to change at any time without notice.",14.5494253,121.0509721
Condo For Rent in Fort Bonifacio,90000,"Fort Bonifacio, Taguig",1,1,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTk3NmMwZC1lMzIwLTdjM2YtYmY3OC1kNzYwOTI5NjA1M2UvYjIwNzRhNTJiOGNiZTI1Mjg1MjA2MjY5ZmZjOGI0MmRjOTc5NGNmZDIxMmI5N2I5OTQ3NTk5Yzg5MDIzOTQ2Mi5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-d76092960587-e369-1976c56-bfc1-7c88,"ERE Code: 5322

Unit Details:

Dolce

1st Floor

84 sq.m

Fully Furnished

With parking




Property Features:

Rare spacious garden unit

With direct access to the pool from the patio

Upgraded unit lighting fixtures walls and cabinets




Asking Price:

Php 90,000.00




For best assistance and viewing schedule, call your professional real estate pals today!




#EverbrightPH #EverbrightRealEstate #RealEstateBrokerPH",14.5494253,121.0509721
Condo For Rent in Fort Bonifacio,90000,"Fort Bonifacio, Taguig",2,2,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTk3NjQ2Yy0xNjNkLTc3YTgtODYyMy0xYzJhMThlNWM2NTAvODdjMjc0YjcwZDYwMTg2YTA1MTNhM2UyMTNiNDliODdiYjQ4ODAwYTdkNzEzZmUxNTM2YzdmNTY0YjUyMTE4ZS5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-1c2a18e5c699-1686-19764b5-866c-77f1,"Location: Willow Tower, ARBOR LANES, ARCA South, Nexus St, Taguig, 1630 Metro Manila.

Unit details:

Two-bedroom.

fully furnished.

Floor area: 111 square meters with balcony.

With one parking slot.

Rental rate: P90,000.00 inclusive of association dues (negotiable).

Payment term:

2 months security deposit.

6 months advance.

10 post-dated checks.

Minimum one-year lease contract.",14.5494253,121.0509721
Condo For Rent in Fort Bonifacio,85000,"Fort Bonifacio, Taguig",1,1,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTk3NjQ2My1mOWRiLTdlMDUtYTBlYi1lMGQyNTBhMTVjNjEvNjZkZjg0NTBkMDU0MmJhYWM0NjMyOTU2ZjNhZGVjMTdlMjQ0Mjk5YjQyY2U5OWViNTgxZjcxOTIxZDE5MDZkYy5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-e0d250a15caa-fa24-19764ac-a134-7e4e,"ARYA RESIDENCES

McKinley Parkway corner Rizal Drive and 8th Avenue, Bonifacio Global City, Taguig




Fully furnished

Ready for occupancy

1 bedroom with balcony

1 bathroom

75 sqm

The unit is located on the 17th floor




Asking price:

Php 85k per month, including association dues and parking

Payment terms:

2 months security deposit

6 months advance and

postdated checks for the remaining months

Minimum of 1 year contract",14.5494253,121.0509721
Condo For Rent in Fort Bonifacio,68000,"Fort Bonifacio, Taguig",1,1,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTk3NjQ1Mi1lNDhhLTc4ODItYjJjMS1mMmE3NzFiMGIxMzYvNDU3ZjFhOWZkMWM0YzNkYzNjYTRhNGJkYjA0Y2VhNTM1ZjQ0MmFmMjQ4ZjFlMTRmZWM3OWFhNTJkNTJhNmFkOC5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-f2a771b0b17f-e4d3-197649b-b30a-78cb,"Code : DR88-001487
 Category : For Rent
 Project : One Maridien
 City : BGC, Taguig City
 Unit : 1 Bedroom + 1 Toilet & Bath
 Size : 60 sqm.
 Parking : None
 Price per Sqm: Php 1,133
 Rental Price : Php 68,000.00
 

 Details of the Unit:
 • Tenanted until April 16, 2025.
 • Viewing starts March
 

 Amenities:
 • Swimming pool
 • Kid’s play area
 • Gym
 • 24/7 security
 

 **If you’re interested in this property or wish to LEASE a property, don't hesitate to contact us:
 **IVY MALAZARTE
 **Top Realty Corporation",14.5494253,121.0509721
Condo For Rent in Fort Bonifacio,75000,"Fort Bonifacio, Taguig",1,1,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTk3NjQ0My0yNzM1LTc5ZTEtYjgyOC1hOWZlZDQ5OGFhYjcvMDNhMzk5MDMyMGI2NGEyNTk1OTQ0Y2QxNmI2MDRmOWUwOTgxZGM0YTc3ZTgyYmVhYjNjMDgwZGNhNWE0MDg0Ni5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-a9fed498ab00-277e-197648c-b871-7a2a,"Code: DR88-001647
 Category: For Rent
 Project: Two Maridien
 City: BGC, Taguig City
 Unit: 1-Bedroom 1BR and 1T&B
 Size: 69 SQM
 Parking: None
 Price per sqm: ₱1,086.95
 Monthly Rental Price: ₱75,000.00
 
 Details of the Unit:
 • Fully-furnished
 • With Spacious Balcony
 

 ***If you’re interested in this property or wish to LEASE a property, don't hesitate to contact us:
 JACKSON LIM JR.
 Licensed Real Estate Broker - PRC#0005478
 Top Realty Corporation",14.5494253,121.0509721
Condo For Rent in Fort Bonifacio,70000,"Fort Bonifacio, Taguig",1,1,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTk3NjQzYS1iNDI1LTdjOTMtYjdlYS04Zjg4YjZmMjZmNzIvMDAyMjQ0Y2U1MzBkMjY5NDI5YmJhOTc1OWE1NDYwOWY4ZDc3OTBmMDFlOTRjYmFmODJkNDk3OGU4NDNhNWM5Ny5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-8f88b6f26fbb-b46e-1976483-b833-7cdc,"FOR LEASE! 
 

  Two Serendra 
  1-Bedroom Unit 
 65 sqm
 Nicely Furnished 
 Includes Parking 
 Php 70,000/month (Negotiable) 
  

 Experience the luxurious living and discover the perfect blend of urban convenience and peaceful living in the heart of Bonifacio Global City at Two Serendra. This prestigious residential development by Ayala Land offers modern, well-designed units that provide a sanctuary amidst the bustling city.",14.5494253,121.0509721
Condo For Rent in Fort Bonifacio,75000,"Fort Bonifacio, Taguig",1,1,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTk3NjQyZi0xOWJmLTcxN2QtODgwNS02NzliOTQ3MGUxNzgvMDZmYzRmZTM3NmFkNzgyMGQ1YWYyZjQ2MTYxYTA0OGZhNGJmNGVhYTdmM2JkMDZhOGQ4YmUzMjc0NmFmNTRlMC5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-679b9470e1c1-1a08-1976478-884e-71c6,"For Lease: 1-Bedroom Unit in Park Triangle Residences, Bonifacio Global City
 

 Monthly Rent: Php75,000/month
 Floor Area: 60 sqm
 

  Fully furnished unit
 Newly turned over (September 2023)
 Comes with air conditioning, refrigerator, induction range, range hood, heater, and living & dining set (4 pax)
 1 bedroom
 1 parking slot
 With balcony and utility room
  

 For viewing appointments, please schedule at least five (5) days ahead of time.
 

 Selling, leasing, or buying a property? Let our firm help you with your real estate needs.",14.5494253,121.0509721
